"campaign","campaign_repeat","invocation","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","variant","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"main","1","66","512","2","4","768,768,768,768","1572864,1572864,1572864,1572864","768,768,768,768","1572864,1572864,1572864,1572864","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0033612","62914560","1.87179e+10","40724527"
"main","1","67","512","2","4","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0030596","62914560","2.0563e+10","678267491"
"main","1","68","512","2","4","768,768,768,768","1572864,1572864,1572864,1572864","768,768,768,768","1572864,1572864,1572864,1572864","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0046477","62914560","1.35367e+10","40724527"
"main","1","69","512","2","8","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.008557","125829120","1.47048e+10","678267491"
"main","1","70","512","2","8","768,768,768,768","3145728,3145728,3145728,3145728","768,768,768,768","3145728,3145728,3145728,3145728","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0074217","125829120","1.69542e+10","554621"
"main","1","71","512","2","8","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0056059","125829120","2.24458e+10","678267491"
"main","1","72","512","2","8","768,768,768,768","3145728,3145728,3145728,3145728","768,768,768,768","3145728,3145728,3145728,3145728","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.003705","125829120","3.3962e+10","554621"
"main","1","73","512","2","16","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0136244","251658240","1.84711e+10","678267491"
"main","1","74","512","2","16","768,768,768,768","6291456,6291456,6291456,6291456","768,768,768,768","6291456,6291456,6291456,6291456","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0205583","251658240","1.22412e+10","34440378"
"main","1","75","512","2","16","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0086477","251658240","2.91012e+10","678267491"
