"campaign","target_kib","S","R","mode","variant","tile","n","mean","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values"
"main","640","8","2","repeat","A","","10","41654630000","40714600000","10268500000","55085800000","11826682687.4699","4048733537","True","4048733537"
"main","384","1","4","repeat","A","","10","36337790000","33876700000","28489100000","49509800000","6814345787.007","169863235","True","169863235"
"main","384","1","4","repeat","B","","10","33440860000","32086250000","23942400000","46911800000","7405390744.61301","18446744073440685294","True","18446744073440685294"
"main","384","4","8","repeat","A","","10","41973260000","38158000000","35551500000","53783900000","6838822685.11182","1603313223","True","1603313223"
"main","768","1","2","fused","A","","10","39478370000","40212000000","31130400000","55880600000","7443398187.25963","18446744073656903484","True","18446744073656903484"
"main","768","2","1","fused","B","","10","51627710000","51477000000","35206800000","69788800000","8379433589.02617","1144888752","True","1144888752"
"main","640","8","2","fused","B","","10","110264780000","108492500000","86980400000","134535000000","16148111218.5172","18446744071634675036","True","18446744071634675036"
"main","384","8","2","repeat","A","","10","41455450000","39556200000","32159300000","54431700000","6394593867.98724","18446744072594251943","True","18446744072594251943"
"main","768","4","2","fused","A","","10","118943160000","121043000000","96712600000","141461000000","16181501438.0743","3595600930","True","3595600930"
"main","384","8","2","fused","B","","10","104219620000","105109500000","57686700000","131758000000","20753448459.897","1996624744","True","1996624744"
"main","768","1","2","repeat","A","","10","36592440000","34307250000","28285700000","48173500000","6177848293.73464","18446744073656903484","True","18446744073656903484"
"main","640","2","1","repeat","A","","10","38192130000","37477250000","28445600000","54663200000","7286710271.04138","1137017487","True","1137017487"
"main","640","1","16","fused","A","","10","37494330000","37649550000","25574400000","53573900000","7469514694.0146","158409371","True","158409371"
"main","640","2","2","fused","B","","10","52100840000","52727200000","42638000000","55199100000","3352558100.37649","413752535","True","413752535"
"main","384","2","8","repeat","A","","10","37234100000","35217450000","30277400000","52961200000","7747239274.34799","521725446","True","521725446"
"main","768","1","1","fused","B","","10","36907220000","38445150000","25443200000","43904100000","5636783339.95551","18446744073656903484","True","18446744073656903484"
"main","640","1","2","repeat","A","","10","34957450000","34494050000","12936200000","50796900000","10781841295.9244","158409371","True","158409371"
"main","768","1","1","fused","A","","10","38435730000","37346950000","31544000000","55492400000","6012724283.55899","18446744073656903484","True","18446744073656903484"
"main","640","1","1","fused","B","","10","36626530000","35996900000","32398500000","43249200000","3271572727.9246","158409371","True","158409371"
"main","512","8","16","repeat","A","","10","38648890000","40787450000","22084100000","47645100000","7081818738.77749","18446744072342836291","True","18446744072342836291"
"main","640","1","4","fused","B","","10","41163600000","39568100000","31722200000","53230600000","7737259147.91536","18446744073337532149","True","18446744073337532149"
"main","768","4","16","repeat","A","","10","36688250000","40429300000","20232600000","44928800000","7913577803.4022","3595600930","True","3595600930"
"main","768","8","1","fused","B","","10","122348970000","131165000000","97546700000","135674000000","14398040857.2868","5665126491","True","5665126491"
"main","768","4","4","repeat","A","","10","38147315000","40036300000","6029450000","52982800000","12113588180.3876","3595600930","True","3595600930"
"main","512","4","2","repeat","A","","10","34557790000","34846250000","27070900000","42686000000","4733143891.84398","1471357870","True","1471357870"
"main","384","8","8","fused","A","","10","103083250000","100183350000","66991100000","129211000000","16389973946.4253","18446744072594251943","True","18446744072594251943"
"main","512","4","2","repeat","B","","10","36620180000","34985050000","28504800000","53738700000","7583018882.1867","18446744073165617266","True","18446744073165617266"
"main","512","8","2","repeat","B","","10","41915290000","42370450000","9888400000","56191000000","12859459097.8353","2965375300","True","2965375300"
"main","640","4","1","repeat","A","","10","40363340000","38446600000","31709000000","55144700000","7135280163.69364","2920336307","True","2920336307"
"main","384","8","8","fused","B","","10","112499130000","109295000000","97973900000","130096000000","13269031021.0693","931578939","True","931578939"
"main","640","1","8","repeat","A","","10","36544980000","34763900000","29793300000","48669100000","6274719179.97929","158409371","True","158409371"
"main","512","16","1","fused","B","","10","96047770000","102022000000","47264800000","136685000000","23317367949.2798","18446744061803098170","True","18446744061803098170"
"main","384","8","2","repeat","B","","10","38826900000","38474050000","29431100000","51933800000","5297668503.78542","1996624744","True","1996624744"
"main","384","16","2","fused","A","","10","105320880000","107980000000","66979400000","135615000000","18305524227.8827","18446744058463905399","True","18446744058463905399"
"main","512","8","8","repeat","A","","10","42029280000","40306600000","36682500000","53618500000","5117296157.11266","18446744072342836291","True","18446744072342836291"
"main","512","4","1","fused","A","","10","102513660000","102768500000","59924000000","143242000000","27548341392.4396","1471357870","True","1471357870"
"main","640","4","2","fused","B","","10","105558100000","97897750000","82573200000","142108000000","16654661265.6637","18446744070066467631","True","18446744070066467631"
"main","512","8","1","repeat","A","","10","45112890000","46033050000","33556900000","56297000000","6470323496.3099","18446744072342836291","True","18446744072342836291"
