probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,2,A,1,2,1,2,0,2,true,0,0,0.00066140000000000003,3354624,5072004838.2219534,1984.3802490234375
scalar_q4,avx2,avx2,true,true,512,524160,1048320,1638,512,2,B,1,2,1,2,0,2,true,0,0,0.00053859999999999997,3354624,6228414407.7237282,1352.0919189453125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,2,C,1,2,1,2,0,2,true,0,67108864,0.0039908000000000001,3354624,840589355.51769066,1984.3804931640625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,2,1,2,0,2,true,0,0,0.0010652000000000001,6709248,6298580548.2538481,3968.751953125
scalar_q4,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,2,1,2,0,2,true,0,0,0.0010820999999999999,6709248,6200210701.4139175,2610.9716796875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,4,C,1,2,1,2,0,2,true,0,67108864,0.010508399999999999,6709248,638465227.8177458,3968.751953125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,2,1,2,0,2,true,0,0,0.0021367999999999999,13418496,6279715462.3736429,7937.49169921875
scalar_q4,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,2,1,2,0,2,true,0,0,0.0021873999999999999,13418496,6134450032.0014629,4906.61328125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,8,C,1,2,1,2,0,2,true,0,67108864,0.0262376,13418496,511422386.19385922,7937.4921875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,2,1,2,0,2,true,0,0,0.0043384000000000001,26836992,6185919232.8969202,15874.96484375
scalar_q4,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,2,1,2,0,2,true,0,0,0.0044327000000000004,26836992,6054321745.2117214,9914.1044921875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,16,C,1,2,1,2,0,2,true,0,67108864,0.0556052,26836992,482634573.74490154,15874.96484375
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,A,1,2,1,2,0,2,true,0,0,0.00054000000000000001,3354624,6212266666.666667,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,B,1,2,1,2,0,2,true,0,0,0.00053819999999999996,3354624,6233043478.26087,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,C,1,2,1,2,0,2,true,0,67108864,0.00054819999999999999,3354624,6119343305.3630066,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,2,A,1,2,1,2,0,2,true,0,0,0.0010692,6709248,6275016835.0168352,2543.335205078125
scalar_q4,avx2,avx2,true,true,1024,1048320,2096640,3276,512,2,B,1,2,1,2,0,2,true,0,0,0.0010851000000000001,6709248,6183068841.5814209,2627.178955078125
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,2,C,1,2,1,2,0,2,true,0,67108864,0.0045814999999999996,6709248,1464421695.9511077,2543.33544921875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,A,1,2,1,2,0,2,true,0,0,0.0024613,13418496,5451792142.3637915,5086.66650390625
scalar_q4,avx2,avx2,true,true,1024,1048320,4193280,3276,512,4,B,1,2,1,2,0,2,true,0,0,0.0021594000000000001,13418496,6213992775.7710476,4776.06005859375
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,C,1,2,1,2,0,2,true,0,67108864,0.012866499999999999,13418496,1042901799.2461042,5086.66650390625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,A,1,2,1,2,0,2,true,0,0,0.0046458999999999997,26836992,5776489377.7309027,10173.341796875
scalar_q4,avx2,avx2,true,true,1024,1048320,8386560,3276,512,8,B,1,2,1,2,0,2,true,0,0,0.0042713999999999998,26836992,6282949852.5073748,10697.712890625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,C,1,2,1,2,0,2,true,0,67108864,0.026732200000000001,26836992,1003920066.4367317,10173.341796875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,A,1,2,1,2,0,2,true,0,0,0.0086561999999999993,53673984,6200640465.7933044,20346.6015625
scalar_q4,avx2,avx2,true,true,1024,1048320,16773120,3276,512,16,B,1,2,1,2,0,2,true,0,0,0.0089943999999999996,53673984,5967489104.331584,20986.685546875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,C,1,2,1,2,0,2,true,0,67108864,0.062012499999999998,53673984,865534916.34751058,20346.6015625
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,A,1,2,1,2,0,2,true,0,0,0.00067310000000000004,4194304,6231323726.0436783,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,B,1,2,1,2,0,2,true,0,0,0.00072670000000000005,4194304,5771713224.1640291,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,C,1,2,1,2,0,2,true,0,67108864,0.0006669,4194304,6289254760.8337078,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,2,A,1,2,1,2,0,2,true,0,0,0.0013368,8388608,6275140634.350688,3643.71337890625
scalar_q4,avx2,avx2,true,true,1280,1310720,2621440,4096,512,2,B,1,2,1,2,0,2,true,0,0,0.0013420999999999999,8388608,6250359883.7642508,3653.72900390625
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,2,C,1,2,1,2,0,2,true,0,67108864,0.0053211999999999999,8388608,1576450424.7162294,3643.713623046875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,A,1,2,1,2,0,2,true,0,0,0.0027474000000000001,16777216,6106579311.3489113,7287.4404296875
scalar_q4,avx2,avx2,true,true,1280,1310720,5242880,4096,512,4,B,1,2,1,2,0,2,true,0,0,0.0030793999999999999,16777216,5448209391.4398909,6311.69873046875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,C,1,2,1,2,0,2,true,0,67108864,0.0132027,16777216,1270741287.7668962,7287.4404296875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,A,1,2,1,2,0,2,true,0,0,0.0054013000000000004,33554432,6212288152.8520908,14574.83984375
scalar_q4,avx2,avx2,true,true,1280,1310720,10485760,4096,512,8,B,1,2,1,2,0,2,true,0,0,0.0054025999999999996,33554432,6210793321.7339802,13369.3076171875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,C,1,2,1,2,0,2,true,0,67108864,0.029361999999999999,33554432,1142784279.0000682,14574.83984375
