"run","order_index","D","S","R","component","mode","elapsed_seconds","elapsed_per_timed_step","qpc_ticks_per_timed_step","tsc_cycles_per_timed_step","tsc_supported","mac_total","mac_per_second","checksum_kind","validation_invariant","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"5","2","512","8","1","gemv-only","fused","0.0017719","0.0002214875","2214.875","442122.75","true","16777216","9468489192.39235","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","3","512","8","1","full","fused","0.0029319","0.0003664875","3664.875","731590","true","16777216","5722301579.18074","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","512","8","1","full","fused","0.0020432","0.0002554","2554","509830.125","true","16777216","8211245105.71652","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","512","8","1","gemv-only","fused","0.0024282","0.000303525","3035.25","605892.5","true","16777216","6909322131.62013","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","3","512","8","1","transition-only","fused","0.0002286","2.8575E-05","285.75","57047.375","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","512","8","1","transition-only","fused","0.0337001","0.0042125125","42125.125","8409220.125","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","512","8","1","gemv-only","fused","0.0017766","0.000222075","2220.75","443299.875","true","16777216","9443440279.18496","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","3","512","8","1","full","fused","0.0023716","0.00029645","2964.5","591815.125","true","16777216","7074218249.28318","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","512","8","1","full","fused","0.0027074","0.000338425","3384.25","675589.875","true","16777216","6196799881.80542","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","512","8","1","gemv-only","fused","0.0019268","0.00024085","2408.5","480745.125","true","16777216","8707294996.88603","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","3","512","8","1","transition-only","fused","0.0005357","6.69625E-05","669.625","133612.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","512","8","1","transition-only","fused","0.0006832","8.54E-05","854","170467.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","512","8","1","gemv-only","fused","0.002067","0.000258375","2583.75","515800.25","true","16777216","8116698597.00048","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","3","512","8","1","full","fused","0.0024306","0.000303825","3038.25","606527.375","true","16777216","6902499794.28948","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","512","8","1","full","fused","0.0025106","0.000313825","3138.25","626437.5","true","16777216","6682552377.91763","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","512","8","1","gemv-only","fused","0.0017571","0.0002196375","2196.375","438440","true","16777216","9548241989.64202","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","3","512","8","1","transition-only","fused","0.0002273","2.84125E-05","284.125","56712.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","512","16","1","transition-only","fused","0.0006102","7.6275E-05","762.75","152260","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","15721343852480694635","15721343852480694635","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","512","16","1","gemv-only","fused","0.0046052","0.00057565","5756.5","1149187.5","true","33554432","7286205159.38504","output","output checksum; GEMV output is deterministic and state remains frozen","990135718269287460","990135718269287460","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","3","512","16","1","full","fused","0.0056064","0.0007008","7008","1398965","true","33554432","5985022831.05023","state","state checksum; actual GEMV followed by apply_transition","3144505421455985126","3144505421455985126","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","512","16","1","full","fused","0.005494","0.00068675","6867.5","1370917.375","true","33554432","6107468511.10302","state","state checksum; actual GEMV followed by apply_transition","3144505421455985126","3144505421455985126","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","512","16","1","gemv-only","fused","0.004892","0.0006115","6115","1220685.125","true","33554432","6859041700.73589","output","output checksum; GEMV output is deterministic and state remains frozen","990135718269287460","990135718269287460","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","3","512","16","1","transition-only","fused","0.0005094","6.3675E-05","636.75","127112.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","15721343852480694635","15721343852480694635","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","512","16","1","transition-only","fused","0.0005095","6.36875E-05","636.875","127185","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","15721343852480694635","15721343852480694635","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","512","16","1","gemv-only","fused","0.00472","0.00059","5900","1177772.375","true","33554432","7108989830.50847","output","output checksum; GEMV output is deterministic and state remains frozen","990135718269287460","990135718269287460","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
