probe,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,512,524160,524160,1638,512,2,C,1,2,1,1,0,1,true,0,67108864,0.019320899999999998,3354624,173626694.40864557,1984.3804931640625
scalar_q4,512,524160,524160,1638,512,4,A,1,2,1,1,0,1,true,0,0,0.034591799999999999,6709248,193954867.9166739,3968.751953125
scalar_q4,512,524160,2096640,1638,512,4,B,1,2,1,1,0,1,true,0,0,0.032562800000000003,6709248,206040266.80752268,2610.9716796875
scalar_q4,512,524160,524160,1638,512,4,C,1,2,1,1,0,1,true,0,67108864,0.047102499999999999,6709248,142439318.50751022,3968.751953125
scalar_q4,512,524160,524160,1638,512,8,A,1,2,1,1,0,1,true,0,0,0.069706900000000002,13418496,192498820.05942023,7937.49169921875
scalar_q4,512,524160,4193280,1638,512,8,B,1,2,1,1,0,1,true,0,0,0.069391800000000003,13418496,193372934.55422685,4906.61328125
scalar_q4,512,524160,524160,1638,512,8,C,1,2,1,1,0,1,true,0,67108864,0.092194300000000007,13418496,145545830.92447147,7937.4921875
scalar_q4,512,524160,524160,1638,512,16,A,1,2,1,1,0,1,true,0,0,0.13989380000000001,26836992,191838323.07078654,15874.96484375
scalar_q4,512,524160,8386560,1638,512,16,B,1,2,1,1,0,1,true,0,0,0.14487920000000001,26836992,185237025.05259553,9914.1044921875
scalar_q4,512,524160,524160,1638,512,16,C,1,2,1,1,0,1,true,0,67108864,0.18468519999999999,26836992,145312087.81212571,15874.96484375
scalar_q4,640,655360,655360,2048,512,1,A,1,2,1,1,0,1,true,0,0,0.0097634999999999996,2097152,214795104.21467713,869.2900390625
scalar_q4,640,655360,655360,2048,512,1,B,1,2,1,1,0,1,true,0,0,0.0100991,2097152,207657315.99845532,869.2900390625
scalar_q4,640,655360,655360,2048,512,1,C,1,2,1,1,0,1,true,0,67108864,0.01061,2097152,197658058.43543828,869.2900390625
scalar_q4,640,655360,655360,2048,512,2,A,1,2,1,1,0,1,true,0,0,0.023399199999999998,4194304,179249888.88509011,1738.579345703125
scalar_q4,640,655360,1310720,2048,512,2,B,1,2,1,1,0,1,true,0,0,0.021507600000000002,4194304,195014971.45195186,1626.59521484375
scalar_q4,640,655360,655360,2048,512,2,C,1,2,1,1,0,1,true,0,67108864,0.023305599999999999,4194304,179969792.66785666,1738.57958984375
scalar_q4,640,655360,655360,2048,512,4,A,1,2,1,1,0,1,true,0,0,0.041029500000000003,8388608,204453088.63135061,3477.15625
scalar_q4,640,655360,2621440,2048,512,4,B,1,2,1,1,0,1,true,0,0,0.039683099999999999,8388608,211389936.77409276,3340.714599609375
scalar_q4,640,655360,655360,2048,512,4,C,1,2,1,1,0,1,true,0,67108864,0.051202699999999997,8388608,163831360.45560098,3477.15625
scalar_q4,640,655360,655360,2048,512,8,A,1,2,1,1,0,1,true,0,0,0.082315100000000002,16777216,203816991.05024472,6954.33056640625
scalar_q4,640,655360,5242880,2048,512,8,B,1,2,1,1,0,1,true,0,0,0.081716499999999997,16777216,205310016.94884142,6495.939453125
scalar_q4,640,655360,655360,2048,512,8,C,1,2,1,1,0,1,true,0,67108864,0.1096292,16777216,153036015.95195442,6954.3310546875
scalar_q4,640,655360,655360,2048,512,16,A,1,2,1,1,0,1,true,0,0,0.16552320000000001,33554432,202717395.50709507,13908.6025390625
scalar_q4,640,655360,10485760,2048,512,16,B,1,2,1,1,0,1,true,0,0,0.1661125,33554432,201998236.13514939,12403.3486328125
scalar_q4,640,655360,655360,2048,512,16,C,1,2,1,1,0,1,true,0,67108864,0.2325343,33554432,144298849.67508018,13908.6025390625
scalar_q4,768,786240,786240,2457,512,1,A,1,2,1,1,0,1,true,0,0,0.011805899999999999,2515968,213111071.58285266,1198.9371337890625
scalar_q4,768,786240,786240,2457,512,1,B,1,2,1,1,0,1,true,0,0,0.011715,2515968,214764660.69142127,1198.9371337890625
scalar_q4,768,786240,786240,2457,512,1,C,1,2,1,1,0,1,true,0,67108864,0.011835500000000001,2515968,212578091.33538929,1198.9371337890625
scalar_q4,768,786240,786240,2457,512,2,A,1,2,1,1,0,1,true,0,0,0.024990600000000002,5031936,201353148.78394276,2397.87744140625
scalar_q4,768,786240,1572480,2457,512,2,B,1,2,1,1,0,1,true,0,0,0.0237483,5031936,211886156.06169704,2464.06640625
scalar_q4,768,786240,786240,2457,512,2,C,1,2,1,1,0,1,true,0,67108864,0.027188500000000001,5031936,185075896.05899552,2397.877685546875
scalar_q4,768,786240,786240,2457,512,4,A,1,2,1,1,0,1,true,0,0,0.050368499999999997,10063872,199804878.0487805,4795.7568359375
