"run","order_index","metric","native_mode","D","S","R","rows_per_worker","mode","kernel","elapsed_seconds","mac_total","mac_per_second","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","per_round_clipped_cells","per_round_clipping_rates","clipped_cells","clipping_rate","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"10","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0009093","8388608","9225346970.19685","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0021006","8388608","3993434256.87899","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0041121","16777216","4079963035.91839","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0061454","16777216","2730044586.19455","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0043312","16777216","3873572220.16993","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.004868","16777216","3446428923.58258","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0047307","16777216","3546455281.4594","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0031159","16777216","5384388459.19317","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0047182","16777216","3555850960.11191","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0049937","16777216","3359676392.25424","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0043317","16777216","3873125100.99961","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0050445","16777216","3325843195.55952","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0047107","16777216","3561512301.78105","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0046091","16777216","3640019960.5129","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0045418","16777216","3693957461.79929","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.0078883","16777216","2126848116.83126","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.002944","16777216","5698782608.69565","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0030448","16777216","5510120861.79716","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","F(S)","repeat","512","1","8","128,128,128,128","repeat","avx2_repeat","0.0066354","16777216","2528440787.2924","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","G(S)","fused","512","1","8","128,128,128,128","fused","avx2_fused","0.004614","16777216","3636154312.96055","6479385130747434895","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400;8060378311007652497;8231470391171241854;6353379237560784982;6479385130747434895","true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false","0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0.001953125","8","0.000244140625","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
